Name,Year,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
Sawai Madhopur,2001,1117057,1806918,525750,515913,365498,150415,601144,225809,375335,14728,8725,6003,469164,282243,186921,647893,309064,338829
Satna,2001,1870104,1806918,898708,984833,611158,373675,885271,360238,525033,136595,83098,53497,745244,470219,275025,1124860,501177,623683
Satara,2001,2808994,1806918,1400668,1908947,1069029,839918,900047,339297,560750,185229,88025,97204,1303658,755834,547824,1505336,652492,852844
Saran,2001,3248701,1806918,1596040,1347610,888812,458798,1901091,763849,1137242,190130,147679,42451,860940,695396,165544,2387761,957265,1430496
Sant Ravidas Nagar (Bhadohi),2001,1353705,1502373,647708,625404,426692,198712,728301,279305,448996,15842,11507,4335,388634,291263,97371,965071,414734,550337
Sant Kabir Nagar,2001,1420226,2161250,700761,573384,378320,195064,846842,341145,505697,59512,42854,16658,489070,323371,165699,931156,396094,535062
Sangrur,2001,2000173,1843510,930884,1041310,606437,434873,958863,462852,496011,113157,97414,15743,814098,585175,228923,1186075,484114,701961
Sangli,2001,2583524,2243144,1263436,1717836,979509,738327,865688,340579,525109,191490,102380,89110,1218655,740429,478226,1364869,579659,785210
Sambalpur,2001,935613,1425022,460491,544861,324711,220150,390752,150411,240341,57547,41955,15592,421346,257200,164146,514267,217922,296345
Samastipur,2001,3394793,1428559,1634101,1211152,802593,408559,2183641,958099,1225542,363316,297103,66213,1071974,824678,247296,2322819,936014,1386805
Salem,2001,3016346,2013789,1452713,1734442,1021772,712670,1281904,541861,740043,281799,146712,135087,1454645,942939,511706,1561701,620694,941007
Saiha,2001,61056,2469630,29814,40983,21990,18993,20073,9252,10821,266,161,105,26981,14921,12060,34075,16321,17754
Sahibganj,2001,927770,1370656,450108,275829,181716,94113,651941,295946,355995,73631,57790,15841,388045,244423,143622,539725,233239,306486
Saharsa,2001,1508182,2101142,718750,465577,322163,143414,1042605,467269,575336,194783,138642,56141,589467,385677,203790,918715,403755,514960
Saharanpur,2001,2896863,1136146,1343541,1444013,897576,546437,1452850,655746,797104,146131,136866,9265,817528,732282,85246,2079335,821040,1258295
Sagar,2001,2021987,2423172,948782,1118993,700223,418770,902994,372982,530012,133174,98931,34243,839763,551373,288390,1182224,521832,660392
